symptom_text,urgency_label
Unconscious after falling,Emergency
Severe chest pain and difficulty breathing,Emergency
Severe allergic reaction with swelling,Emergency
Heavy bleeding after an accident,Emergency
Heavy bleeding after an accident,Emergency
Sudden weakness on one side of the body,Emergency
Unconscious after falling,Emergency
Severe abdominal pain with vomiting blood,Emergency
Unconscious after falling,Emergency
Difficulty breathing with blue lips,Emergency
Sudden loss of vision,Emergency
Severe chest pain and difficulty breathing,Emergency
Severe chest pain and difficulty breathing,Emergency
Unconscious after falling,Emergency
Heavy bleeding after an accident,Emergency
Heavy bleeding after an accident,Emergency
Severe abdominal pain with vomiting blood,Emergency
Difficulty breathing with blue lips,Emergency
Severe chest pain and difficulty breathing,Emergency
Severe abdominal pain with vomiting blood,Emergency
Heavy bleeding after an accident,Emergency
Severe abdominal pain with vomiting blood,Emergency
Sudden loss of vision,Emergency
Heavy bleeding after an accident,Emergency
High fever with stiff neck,Emergency
Difficulty breathing with blue lips,Emergency
Severe allergic reaction with swelling,Emergency
Severe chest pain and difficulty breathing,Emergency
Sudden weakness on one side of the body,Emergency
Sudden loss of vision,Emergency
Seizure lasting more than five minutes,Emergency
Severe allergic reaction with swelling,Emergency
Sudden weakness on one side of the body,Emergency
Heavy bleeding after an accident,Emergency
Seizure lasting more than five minutes,Emergency
Unconscious after falling,Emergency
Unconscious after falling,Emergency
Sudden loss of vision,Emergency
Unconscious after falling,Emergency
Seizure lasting more than five minutes,Emergency
Seizure lasting more than five minutes,Emergency
Difficulty breathing with blue lips,Emergency
Severe allergic reaction with swelling,Emergency
Severe chest pain and difficulty breathing,Emergency
High fever with stiff neck,Emergency
Severe abdominal pain with vomiting blood,Emergency
Unconscious after falling,Emergency
Sudden loss of vision,Emergency
Unconscious after falling,Emergency
Severe abdominal pain with vomiting blood,Emergency
Severe allergic reaction with swelling,Emergency
Difficulty breathing with blue lips,Emergency
Seizure lasting more than five minutes,Emergency
Difficulty breathing with blue lips,Emergency
Heavy bleeding after an accident,Emergency
Unconscious after falling,Emergency
Severe chest pain and difficulty breathing,Emergency
Heavy bleeding after an accident,Emergency
Severe allergic reaction with swelling,Emergency
Unconscious after falling,Emergency
Heavy bleeding after an accident,Emergency
Unconscious after falling,Emergency
Sudden loss of vision,Emergency
Severe allergic reaction with swelling,Emergency
High fever with stiff neck,Emergency
Seizure lasting more than five minutes,Emergency
Sudden weakness on one side of the body,Emergency
Seizure lasting more than five minutes,Emergency
Seizure lasting more than five minutes,Emergency
Heavy bleeding after an accident,Emergency
Severe allergic reaction with swelling,Emergency
Unconscious after falling,Emergency
Difficulty breathing with blue lips,Emergency
Sudden weakness on one side of the body,Emergency
Severe abdominal pain with vomiting blood,Emergency
Heavy bleeding after an accident,Emergency
Sudden weakness on one side of the body,Emergency
High fever with stiff neck,Emergency
Sudden loss of vision,Emergency
Severe allergic reaction with swelling,Emergency
Severe abdominal pain with vomiting blood,Emergency
Heavy bleeding after an accident,Emergency
Seizure lasting more than five minutes,Emergency
Severe chest pain and difficulty breathing,Emergency
Heavy bleeding after an accident,Emergency
Severe chest pain and difficulty breathing,Emergency
Seizure lasting more than five minutes,Emergency
Sudden loss of vision,Emergency
Severe allergic reaction with swelling,Emergency
Unconscious after falling,Emergency
Heavy bleeding after an accident,Emergency
Difficulty breathing with blue lips,Emergency
Seizure lasting more than five minutes,Emergency
Heavy bleeding after an accident,Emergency
High fever with stiff neck,Emergency
Sudden loss of vision,Emergency
High fever with stiff neck,Emergency
Sudden weakness on one side of the body,Emergency
Severe allergic reaction with swelling,Emergency
Sudden weakness on one side of the body,Emergency
Painful urination with fever,Moderate
Skin infection with redness,Moderate
Skin infection with redness,Moderate
Worsening headache over two days,Moderate
Moderate back pain after lifting,Moderate
Joint pain with swelling,Moderate
Moderate back pain after lifting,Moderate
Joint pain with swelling,Moderate
Shortness of breath on exertion,Moderate
Painful urination with fever,Moderate
Moderate abdominal pain for two days,Moderate
Skin infection with redness,Moderate
Ear pain with discharge,Moderate
Persistent cough with fever,Moderate
High fever and vomiting since last night,Moderate
Persistent cough with fever,Moderate
Moderate abdominal pain for two days,Moderate
Moderate abdominal pain for two days,Moderate
Joint pain with swelling,Moderate
Moderate back pain after lifting,Moderate
Persistent cough with fever,Moderate
Joint pain with swelling,Moderate
Joint pain with swelling,Moderate
Moderate back pain after lifting,Moderate
Ear pain with discharge,Moderate
Skin infection with redness,Moderate
Worsening headache over two days,Moderate
Skin infection with redness,Moderate
High fever and vomiting since last night,Moderate
Persistent cough with fever,Moderate
Skin infection with redness,Moderate
Worsening headache over two days,Moderate
Shortness of breath on exertion,Moderate
Persistent cough with fever,Moderate
Worsening headache over two days,Moderate
Joint pain with swelling,Moderate
Moderate abdominal pain for two days,Moderate
Ear pain with discharge,Moderate
High fever and vomiting since last night,Moderate
Worsening headache over two days,Moderate
Skin infection with redness,Moderate
Moderate abdominal pain for two days,Moderate
Skin infection with redness,Moderate
Persistent cough with fever,Moderate
Worsening headache over two days,Moderate
Skin infection with redness,Moderate
Moderate back pain after lifting,Moderate
Painful urination with fever,Moderate
Moderate abdominal pain for two days,Moderate
Shortness of breath on exertion,Moderate
Moderate abdominal pain for two days,Moderate
Skin infection with redness,Moderate
Skin infection with redness,Moderate
High fever and vomiting since last night,Moderate
Moderate back pain after lifting,Moderate
Shortness of breath on exertion,Moderate
Ear pain with discharge,Moderate
High fever and vomiting since last night,Moderate
Persistent cough with fever,Moderate
Shortness of breath on exertion,Moderate
Worsening headache over two days,Moderate
Painful urination with fever,Moderate
High fever and vomiting since last night,Moderate
Painful urination with fever,Moderate
Moderate back pain after lifting,Moderate
Persistent cough with fever,Moderate
Persistent cough with fever,Moderate
Ear pain with discharge,Moderate
Persistent cough with fever,Moderate
Skin infection with redness,Moderate
Moderate abdominal pain for two days,Moderate
Moderate abdominal pain for two days,Moderate
Ear pain with discharge,Moderate
Skin infection with redness,Moderate
Moderate abdominal pain for two days,Moderate
Worsening headache over two days,Moderate
Skin infection with redness,Moderate
Moderate back pain after lifting,Moderate
Joint pain with swelling,Moderate
Painful urination with fever,Moderate
Skin infection with redness,Moderate
Painful urination with fever,Moderate
Worsening headache over two days,Moderate
Joint pain with swelling,Moderate
Shortness of breath on exertion,Moderate
Ear pain with discharge,Moderate
Skin infection with redness,Moderate
Ear pain with discharge,Moderate
Persistent cough with fever,Moderate
Painful urination with fever,Moderate
Painful urination with fever,Moderate
Persistent cough with fever,Moderate
Shortness of breath on exertion,Moderate
High fever and vomiting since last night,Moderate
Moderate back pain after lifting,Moderate
Skin infection with redness,Moderate
Painful urination with fever,Moderate
Moderate back pain after lifting,Moderate
Painful urination with fever,Moderate
High fever and vomiting since last night,Moderate
Seasonal allergy symptoms,Routine
Mild headache for two days,Routine
Mild stomach discomfort,Routine
Seasonal allergy symptoms,Routine
Mild headache for two days,Routine
Minor skin rash,Routine
Seasonal allergy symptoms,Routine
Sore throat without fever,Routine
Mild stomach discomfort,Routine
Fatigue without fever,Routine
Mild joint stiffness in the morning,Routine
Mild stomach discomfort,Routine
Sore throat without fever,Routine
Common cold with runny nose,Routine
Sneezing and runny nose,Routine
Sneezing and runny nose,Routine
Mild joint stiffness in the morning,Routine
Mild stomach discomfort,Routine
Mild joint stiffness in the morning,Routine
Occasional dizziness,Routine
Mild stomach discomfort,Routine
Seasonal allergy symptoms,Routine
Seasonal allergy symptoms,Routine
Occasional dizziness,Routine
Minor skin rash,Routine
Occasional dizziness,Routine
Occasional dizziness,Routine
Mild joint stiffness in the morning,Routine
Mild headache for two days,Routine
Seasonal allergy symptoms,Routine
Mild headache for two days,Routine
Occasional dizziness,Routine
Minor skin rash,Routine
Seasonal allergy symptoms,Routine
Mild stomach discomfort,Routine
Mild stomach discomfort,Routine
Mild stomach discomfort,Routine
Sore throat without fever,Routine
Mild joint stiffness in the morning,Routine
Common cold with runny nose,Routine
Occasional dizziness,Routine
Common cold with runny nose,Routine
Fatigue without fever,Routine
Mild joint stiffness in the morning,Routine
Mild stomach discomfort,Routine
Seasonal allergy symptoms,Routine
Mild joint stiffness in the morning,Routine
Sore throat without fever,Routine
Seasonal allergy symptoms,Routine
Mild headache for two days,Routine
Sore throat without fever,Routine
Mild headache for two days,Routine
Seasonal allergy symptoms,Routine
Mild stomach discomfort,Routine
Common cold with runny nose,Routine
Occasional dizziness,Routine
Mild joint stiffness in the morning,Routine
Mild joint stiffness in the morning,Routine
Mild stomach discomfort,Routine
Occasional dizziness,Routine
Mild headache for two days,Routine
Common cold with runny nose,Routine
Occasional dizziness,Routine
Mild headache for two days,Routine
Occasional dizziness,Routine
Fatigue without fever,Routine
Mild joint stiffness in the morning,Routine
Fatigue without fever,Routine
Occasional dizziness,Routine
Sore throat without fever,Routine
Mild joint stiffness in the morning,Routine
Common cold with runny nose,Routine
Mild stomach discomfort,Routine
Fatigue without fever,Routine
Mild stomach discomfort,Routine
Mild headache for two days,Routine
Sneezing and runny nose,Routine
Sore throat without fever,Routine
Mild headache for two days,Routine
Minor skin rash,Routine
Mild headache for two days,Routine
Mild headache for two days,Routine
Sneezing and runny nose,Routine
Mild joint stiffness in the morning,Routine
Sore throat without fever,Routine
Sore throat without fever,Routine
Common cold with runny nose,Routine
Mild headache for two days,Routine
Sore throat without fever,Routine
Seasonal allergy symptoms,Routine
Common cold with runny nose,Routine
Seasonal allergy symptoms,Routine
Sneezing and runny nose,Routine
Seasonal allergy symptoms,Routine
Mild stomach discomfort,Routine
Occasional dizziness,Routine
Seasonal allergy symptoms,Routine
Sneezing and runny nose,Routine
Mild stomach discomfort,Routine
Sneezing and runny nose,Routine
